ciudad,genero,edad,direccion,famtam,estadoP,eduM,eduP,trabM,trabP,razon,asistioNMM,internet,tutor,tpoviaje,tpoestudio,areprobadas,apoyoextra,apoyofam,extrapaga,activextra,qsuperior,pololea,qfamrel,tpolibre,saleamigos,salud,inasistencia,G1,G2,G3,nivelalco
La Serena,M,22,URB,MI3,SEP,4,1,profesor,en_casa,curriculo,no,si,otro,2,3,2,si,si,si,si,si,no,5,3,3,1,26,4.1,3.5,3.5,MUYALTO
Valparaiso,F,21,RUR,MQ3,SEP,3,2,servicios,en_casa,cercania,si,si,padre,1,2,2,si,si,si,si,no,si,5,5,4,4,18,2.5,3.4,2.7,BAJO
Valparaiso,M,20,RUR,MQ3,JUN,1,3,servicios,salud,cercania,si,si,otro,1,2,2,no,no,si,no,si,no,2,3,3,1,19,3.4,4.3,5.2,MUYBAJO
Valparaiso,M,21,RUR,MQ3,SEP,0,1,servicios,otro,otro,no,si,padre,3,3,2,no,no,no,si,no,no,5,1,3,1,18,3.7,4.1,3.6,ALTO
Valparaiso,F,20,URB,MQ3,SEP,0,0,servicios,servicios,otro,no,si,otro,3,1,2,no,si,no,no,si,no,1,3,4,5,6,3.5,4.4,3.8,ALTO
Valparaiso,F,22,RUR,MI3,JUN,4,3,salud,en_casa,curriculo,si,si,otro,1,3,3,no,si,si,si,si,no,4,1,5,2,24,3.5,4.3,4.1,ALTO
La Serena,F,23,URB,MQ3,JUN,4,2,salud,servicios,otro,si,si,otro,3,4,2,no,si,no,no,no,no,2,3,3,2,10,4,4.6,4.9,BAJO
Valparaiso,M,25,URB,MQ3,SEP,0,1,servicios,en_casa,otro,si,si,padre,1,2,0,si,si,si,si,si,si,2,5,5,3,21,4,4.3,3.5,MUYALTO
Valparaiso,F,25,URB,MQ3,JUN,2,1,en_casa,en_casa,curriculo,no,no,padre,4,1,1,si,no,si,si,no,no,5,4,1,1,3,3.4,6.7,5.8,BAJO
Valparaiso,F,23,URB,MI3,JUN,4,4,profesor,en_casa,reputacion,no,no,padre,2,4,3,si,si,si,si,no,no,1,4,2,1,28,4.9,4.8,4.7,ALTO
La Serena,M,22,RUR,MI3,SEP,2,3,servicios,otro,curriculo,no,no,otro,3,4,2,si,no,no,si,no,no,4,4,3,2,30,4.5,5.2,4.4,BAJO
La Serena,M,21,RUR,MI3,SEP,4,2,en_casa,servicios,cercania,si,si,otro,4,3,0,si,si,si,si,no,no,5,1,2,5,8,3.7,4.3,3.9,ALTO
Valparaiso,M,20,URB,MQ3,SEP,4,4,otro,salud,otro,si,no,madre,1,1,3,no,no,no,si,no,no,5,4,2,5,13,3.1,2.5,4,BAJO
La Serena,F,20,RUR,MI3,SEP,4,0,salud,servicios,curriculo,no,no,madre,3,2,3,no,no,no,si,si,no,1,2,4,3,17,5.5,6.4,7,BAJO
Valparaiso,F,19,URB,MI3,JUN,2,3,en_casa,en_casa,reputacion,no,no,padre,3,2,0,no,si,no,no,no,no,5,3,4,5,9,3.4,3.7,3.2,NORMAL
La Serena,M,18,URB,MI3,SEP,0,4,otro,salud,reputacion,no,si,madre,2,3,1,no,no,no,no,si,no,1,4,1,2,15,6.7,6.4,6.1,MUYBAJO
Valparaiso,F,20,URB,MI3,JUN,4,0,profesor,en_casa,cercania,si,si,otro,4,2,1,si,si,si,si,si,no,4,3,2,2,24,3.7,2.8,4.6,BAJO
La Serena,F,20,RUR,MQ3,SEP,1,3,otro,salud,otro,no,si,madre,2,3,3,no,si,si,si,si,si,3,5,2,5,2,4.6,6.1,5.6,NORMAL
Valparaiso,F,22,RUR,MI3,SEP,3,1,salud,servicios,cercania,no,si,padre,2,2,2,no,si,no,si,no,si,3,5,3,5,8,3.3,3.5,3.2,ALTO
Valparaiso,F,23,RUR,MI3,SEP,4,0,servicios,otro,otro,si,si,padre,4,4,1,no,no,no,si,si,no,5,1,4,2,25,4.3,6.1,4.9,MUYBAJO
La Serena,M,23,URB,MQ3,JUN,4,1,profesor,servicios,curriculo,si,si,madre,3,2,0,no,si,no,no,no,si,5,3,3,4,19,4.3,6.1,4.9,BAJO
Valparaiso,F,23,RUR,MQ3,JUN,4,4,salud,salud,otro,si,si,madre,3,2,3,no,si,si,no,no,no,4,4,4,4,24,4.3,3.7,4.1,ALTO
Valparaiso,M,22,RUR,MQ3,SEP,2,4,servicios,salud,cercania,si,si,madre,4,4,1,no,si,no,si,no,si,5,5,2,2,11,3.7,3.4,4.1,BAJO
La Serena,F,18,URB,MQ3,JUN,3,3,servicios,profesor,reputacion,si,si,padre,1,3,0,no,si,si,si,no,si,2,4,4,3,19,3.6,3.5,4.3,ALTO
Valparaiso,M,19,URB,MI3,SEP,3,4,profesor,servicios,curriculo,si,no,madre,3,2,1,no,no,no,si,si,no,3,3,4,2,12,3.7,2.9,3.8,ALTO
La Serena,F,19,URB,MQ3,JUN,3,1,otro,otro,otro,si,no,otro,1,4,1,si,si,si,si,no,si,1,1,4,3,10,4.9,4,4.2,MUYBAJO
Valparaiso,F,22,URB,MQ3,SEP,3,0,en_casa,servicios,curriculo,no,no,madre,4,1,1,no,si,si,no,no,no,5,3,2,2,4,3.9,5.5,4.5,NORMAL
La Serena,M,20,RUR,MI3,SEP,4,4,salud,profesor,curriculo,si,no,padre,3,4,1,no,si,si,si,si,si,2,1,1,2,11,6.7,4,5.1,MUYBAJO
Valparaiso,M,20,RUR,MQ3,JUN,0,1,servicios,en_casa,curriculo,si,si,otro,2,4,1,no,no,si,no,no,no,3,5,3,1,3,4.9,4.8,4.7,ALTO
Valparaiso,F,18,URB,MQ3,SEP,0,3,servicios,salud,reputacion,si,no,madre,1,4,0,no,no,si,si,si,no,3,4,1,2,8,3.4,4.2,3.5,ALTO
Valparaiso,F,20,URB,MI3,SEP,3,4,otro,otro,curriculo,no,no,padre,3,4,2,no,si,no,si,no,si,1,3,2,1,5,4.3,3.1,3.5,NORMAL
La Serena,F,19,RUR,MQ3,SEP,1,2,otro,en_casa,otro,no,si,padre,2,2,2,no,no,no,si,no,no,4,4,1,5,26,3.4,1,2.8,BAJO
La Serena,M,20,RUR,MQ3,JUN,2,0,otro,en_casa,otro,no,si,padre,3,3,0,no,no,no,no,si,si,1,5,1,4,23,4.3,2.8,4,BAJO
La Serena,F,18,URB,MQ3,SEP,1,4,en_casa,en_casa,cercania,si,no,otro,2,4,3,si,si,no,si,no,no,1,5,2,5,25,3.9,4.9,6.7,NORMAL
La Serena,F,19,RUR,MQ3,SEP,4,4,salud,profesor,curriculo,si,si,padre,3,3,0,no,si,no,no,si,si,4,2,1,1,0,3.5,4,3.9,ALTO
La Serena,F,23,URB,MQ3,SEP,3,3,profesor,servicios,curriculo,no,no,padre,3,1,3,no,no,no,no,si,no,1,4,2,5,24,4.9,4.8,4.7,ALTO
La Serena,F,19,RUR,MI3,JUN,4,0,profesor,servicios,otro,si,si,padre,3,2,3,no,si,no,si,si,si,2,3,5,3,19,2.8,6.4,5.5,BAJO
La Serena,F,22,RUR,MQ3,JUN,3,3,en_casa,profesor,cercania,si,no,madre,1,1,0,si,si,no,si,si,si,2,3,2,4,4,5.5,3.4,4.2,NORMAL
Valparaiso,F,19,URB,MI3,JUN,4,4,profesor,salud,otro,no,si,otro,2,4,2,si,no,no,no,no,si,3,5,5,2,4,4,3.3,3.9,ALTO
La Serena,F,25,URB,MQ3,SEP,1,4,otro,profesor,reputacion,si,no,padre,3,1,3,no,si,si,no,no,no,4,3,2,4,6,4.9,4.6,4.5,BAJO
Valparaiso,F,25,URB,MI3,SEP,3,1,salud,otro,reputacion,no,no,padre,4,2,3,no,si,no,si,no,si,4,5,2,4,11,3.1,5.2,3.8,NORMAL
Valparaiso,M,22,RUR,MQ3,JUN,3,3,en_casa,profesor,cercania,no,si,madre,2,3,2,si,no,si,no,no,no,3,1,2,4,5,4.3,1,4,BAJO
La Serena,F,21,RUR,MI3,SEP,4,4,otro,salud,curriculo,si,no,madre,4,4,0,no,no,no,no,no,no,3,1,3,3,22,4.1,4.3,4.3,MUYALTO
Valparaiso,M,21,RUR,MQ3,SEP,4,4,profesor,salud,reputacion,no,si,padre,1,4,0,no,no,no,si,si,no,3,4,3,2,20,2.5,3.1,3.1,BAJO
Valparaiso,M,22,RUR,MI3,SEP,4,4,salud,profesor,curriculo,no,no,madre,4,1,3,si,si,si,no,no,si,3,1,3,4,75,2.1,2.1,2.2,MUYBAJO
Valparaiso,F,18,RUR,MQ3,JUN,4,4,profesor,en_casa,otro,si,si,madre,4,2,1,no,si,no,si,si,no,2,3,5,1,16,4.4,4.6,4.5,ALTO
La Serena,F,25,URB,MI3,JUN,4,4,en_casa,profesor,otro,si,si,madre,1,4,2,si,no,no,no,si,si,5,4,1,2,75,2.1,1.8,2.3,BAJO
La Serena,F,22,URB,MI3,JUN,4,2,salud,otro,cercania,si,no,padre,1,3,3,no,si,si,no,no,no,5,1,2,5,7,4.5,5.2,4.5,BAJO
Valparaiso,M,25,URB,MI3,JUN,2,4,servicios,salud,otro,si,si,madre,2,2,0,si,no,no,si,si,si,5,1,1,1,4,3.1,2.8,2.8,NORMAL
La Serena,M,22,URB,MI3,JUN,0,3,servicios,profesor,curriculo,no,no,madre,3,1,2,si,no,no,si,si,si,2,5,1,1,2,3.5,3.3,4.3,MUYALTO
Valparaiso,M,22,URB,MQ3,SEP,0,4,otro,en_casa,reputacion,si,no,padre,1,1,1,no,si,no,no,si,no,2,5,2,5,26,4,4.3,3.5,MUYALTO
Valparaiso,M,22,RUR,MQ3,JUN,4,4,profesor,salud,otro,no,si,otro,1,2,1,no,no,no,si,no,si,2,4,3,2,30,5.5,2.8,4.6,MUYBAJO
La Serena,M,19,RUR,MQ3,JUN,4,3,salud,otro,curriculo,si,si,madre,3,1,1,si,no,no,si,no,si,1,2,5,4,11,4,3.9,4.6,ALTO
Valparaiso,F,22,URB,MI3,JUN,3,3,profesor,otro,curriculo,si,si,padre,3,2,3,no,no,si,no,si,no,5,2,2,4,14,2.1,2.1,2.5,ALTO
La Serena,M,20,RUR,MI3,SEP,4,1,otro,otro,reputacion,no,no,padre,4,3,0,si,si,si,no,no,no,4,5,2,5,15,6.7,4,6.2,BAJO
Valparaiso,F,21,RUR,MQ3,JUN,3,3,profesor,servicios,otro,si,no,otro,1,2,0,si,no,no,si,no,no,1,3,4,5,54,2.2,2.2,2.1,NORMAL
La Serena,M,18,URB,MQ3,JUN,2,3,en_casa,profesor,otro,no,no,madre,4,4,2,no,si,si,no,no,no,5,4,3,1,56,1.8,2.3,2.2,MUYBAJO
La Serena,F,19,URB,MI3,SEP,2,4,servicios,en_casa,curriculo,no,no,otro,1,1,1,no,no,no,no,no,no,3,3,4,4,9,3.4,2.5,3.1,NORMAL
Valparaiso,M,23,RUR,MQ3,JUN,4,3,en_casa,salud,otro,no,no,padre,3,4,3,si,no,no,no,no,si,5,2,2,2,10,3.6,3.5,4,MUYALTO
Valparaiso,F,20,URB,MQ3,JUN,2,4,servicios,servicios,curriculo,si,no,otro,2,1,0,no,si,no,si,no,si,1,5,3,1,21,3.5,3.9,3.9,ALTO
La Serena,M,18,URB,MI3,JUN,2,1,otro,servicios,curriculo,no,no,padre,3,4,0,si,si,no,si,si,no,4,4,4,2,22,6.1,4.6,5,BAJO
La Serena,M,22,URB,MI3,SEP,3,4,salud,profesor,otro,si,si,padre,2,2,1,si,no,no,no,no,no,1,3,5,4,0,5.2,5.5,6.1,BAJO
La Serena,F,22,URB,MQ3,JUN,3,4,salud,profesor,otro,si,no,padre,3,1,0,no,si,si,si,si,no,1,5,5,1,7,3.7,3.3,3.7,ALTO
Valparaiso,M,23,URB,MQ3,JUN,3,2,en_casa,en_casa,otro,si,no,otro,2,3,3,si,si,si,si,si,no,2,3,5,3,6,6.1,4.6,5.1,BAJO
Valparaiso,F,22,RUR,MI3,SEP,1,2,en_casa,otro,curriculo,si,no,madre,4,2,2,si,si,no,no,no,si,3,3,5,5,8,6.4,6.7,6,BAJO
Valparaiso,F,19,URB,MI3,SEP,3,2,otro,en_casa,reputacion,no,no,otro,3,1,1,no,no,si,si,si,si,2,2,4,1,4,4.3,5.8,5.4,BAJO
La Serena,M,25,URB,MQ3,SEP,3,2,salud,servicios,curriculo,no,si,otro,1,3,2,no,si,no,si,si,si,5,2,1,3,17,4.5,4.4,4,ALTO
La Serena,F,18,URB,MQ3,SEP,3,2,profesor,otro,reputacion,no,si,madre,3,1,1,no,si,si,si,no,si,5,4,2,4,56,1.7,2,2,ALTO
Valparaiso,M,25,RUR,MQ3,SEP,3,4,servicios,servicios,curriculo,si,no,padre,2,4,3,si,no,no,no,no,no,3,3,2,1,15,4.3,4,4,ALTO
Valparaiso,M,21,URB,MI3,JUN,3,3,en_casa,salud,curriculo,si,si,madre,4,2,3,si,si,si,si,no,si,2,2,5,2,9,3.4,4.9,6.7,BAJO
Valparaiso,M,22,URB,MI3,SEP,1,2,otro,servicios,otro,no,no,otro,1,3,1,si,no,si,no,no,si,5,3,5,2,3,5.8,5.5,7,MUYBAJO
La Serena,M,20,URB,MQ3,JUN,3,1,otro,servicios,otro,si,si,padre,1,3,3,no,si,si,si,si,si,1,3,3,5,1,3.7,4.3,7,BAJO
Valparaiso,M,20,RUR,MI3,JUN,2,3,servicios,en_casa,reputacion,no,si,madre,1,3,1,si,no,si,no,no,si,5,1,1,5,1,4,6.4,4.7,BAJO
Valparaiso,F,21,URB,MI3,SEP,0,2,otro,otro,otro,si,si,madre,4,1,2,si,si,no,si,no,no,1,4,3,1,15,6.4,4,5.4,NORMAL
Valparaiso,M,22,RUR,MI3,SEP,3,4,servicios,salud,otro,no,si,otro,1,3,0,si,no,no,si,si,no,2,1,2,1,18,5.2,4.9,6.1,BAJO
La Serena,M,25,RUR,MI3,JUN,4,3,salud,otro,reputacion,si,no,padre,2,1,1,no,no,no,no,si,no,1,5,2,5,75,2.2,2,2.1,ALTO
Valparaiso,M,25,URB,MQ3,JUN,4,2,profesor,en_casa,otro,no,si,madre,2,1,0,no,no,si,si,si,si,5,3,5,3,6,3.7,6.7,4.8,BAJO
Valparaiso,M,21,RUR,MI3,SEP,3,3,profesor,en_casa,cercania,si,si,padre,3,4,2,si,si,no,si,no,si,4,1,5,1,54,2.3,1.7,2.3,NORMAL
Valparaiso,F,21,RUR,MI3,SEP,1,4,servicios,en_casa,otro,si,no,madre,2,2,1,no,no,no,si,no,si,1,1,1,3,20,5.2,4.3,4.3,BAJO
La Serena,M,21,RUR,MI3,JUN,4,1,profesor,servicios,curriculo,si,si,padre,3,2,1,si,si,no,si,no,no,1,3,3,1,10,3.1,6.1,6.1,MUYBAJO
Valparaiso,F,25,RUR,MQ3,SEP,0,3,otro,servicios,reputacion,si,no,madre,3,4,0,no,si,si,si,si,no,3,4,4,3,3,5.5,4,7,NORMAL
La Serena,M,21,URB,MQ3,SEP,1,3,en_casa,servicios,curriculo,no,no,padre,4,4,3,no,si,si,no,no,si,5,2,2,4,19,4.9,4,4.2,BAJO
La Serena,F,19,RUR,MI3,SEP,3,0,servicios,servicios,reputacion,si,si,otro,3,3,0,no,si,no,si,no,si,2,1,5,3,3,6.1,5.8,7,BAJO
Valparaiso,M,19,RUR,MI3,JUN,3,3,servicios,profesor,reputacion,no,si,padre,1,3,2,no,no,no,si,no,no,2,3,2,1,20,3.9,5.5,4.9,MUYBAJO
La Serena,M,22,URB,MQ3,JUN,2,4,servicios,salud,curriculo,no,si,madre,4,2,0,si,no,no,si,si,no,4,2,2,2,21,3.5,4,4.3,MUYALTO
Valparaiso,F,23,URB,MQ3,JUN,3,3,servicios,servicios,curriculo,no,si,padre,4,3,2,no,si,no,si,no,si,1,3,3,2,16,4.6,6.1,5.1,BAJO
Valparaiso,F,23,URB,MI3,SEP,4,3,otro,profesor,curriculo,no,si,otro,4,3,1,no,si,si,si,si,no,4,2,2,3,22,3.6,3.2,4.2,ALTO
La Serena,F,23,URB,MQ3,SEP,4,2,profesor,servicios,curriculo,si,si,madre,2,2,3,no,si,no,si,si,no,3,1,4,1,4,3.7,3.1,5.2,BAJO
Valparaiso,M,23,RUR,MI3,JUN,2,3,en_casa,profesor,cercania,si,no,madre,2,1,2,si,no,si,no,no,no,5,4,3,5,4,3.1,3.4,4.6,NORMAL
La Serena,F,25,URB,MQ3,SEP,2,2,en_casa,en_casa,cercania,no,no,madre,2,1,0,si,no,no,si,no,si,2,5,4,3,75,2.2,1.9,1.9,BAJO
Valparaiso,M,22,URB,MQ3,JUN,4,0,salud,otro,cercania,si,no,padre,3,1,1,si,si,si,no,si,si,1,4,2,4,21,1.9,3.4,2.4,NORMAL
Valparaiso,F,19,URB,MI3,JUN,3,3,profesor,salud,cercania,no,no,padre,4,1,0,no,no,si,si,si,no,1,4,2,1,22,3.4,4.3,3.7,BAJO
La Serena,M,23,RUR,MQ3,SEP,3,4,profesor,otro,cercania,no,si,otro,1,2,3,si,si,no,no,si,no,5,2,5,1,17,4.9,6.7,6,BAJO
Valparaiso,M,23,URB,MQ3,JUN,3,4,profesor,profesor,otro,no,si,padre,2,1,0,no,no,no,si,no,no,2,3,5,4,4,5.8,4.3,4.7,BAJO
Valparaiso,F,23,URB,MI3,JUN,1,2,servicios,otro,otro,no,si,padre,3,4,3,si,si,no,si,no,no,2,2,3,4,28,5.8,6.1,6.2,NORMAL
La Serena,F,25,URB,MI3,SEP,3,3,profesor,salud,cercania,no,no,otro,4,3,1,no,si,no,si,si,no,2,1,2,4,25,6.1,2.8,4,MUYBAJO
Valparaiso,F,18,URB,MI3,JUN,3,2,otro,en_casa,curriculo,no,si,padre,1,4,0,si,si,no,no,si,si,3,5,4,3,14,6.1,5.5,7,BAJO
Valparaiso,M,21,URB,MQ3,JUN,4,4,servicios,en_casa,cercania,si,si,otro,1,2,0,si,si,si,no,si,si,3,1,2,2,3,3.8,6.7,6.1,NORMAL
Valparaiso,F,21,RUR,MI3,SEP,3,4,otro,salud,cercania,no,no,madre,4,4,2,no,si,si,si,no,si,5,1,3,2,2,2.2,2.5,2.8,BAJO
La Serena,M,20,URB,MI3,JUN,3,4,profesor,en_casa,curriculo,si,si,otro,4,3,0,no,si,no,no,si,no,3,2,5,4,26,4.9,5.5,7,BAJO
La Serena,F,25,URB,MQ3,SEP,3,1,profesor,en_casa,curriculo,no,no,madre,1,2,0,no,si,no,no,si,no,1,1,5,3,19,5.5,4.6,5.6,NORMAL
Valparaiso,M,20,RUR,MI3,JUN,4,4,en_casa,salud,cercania,no,no,otro,4,3,1,si,no,si,si,si,no,2,5,5,3,11,4.3,3.5,4,MUYALTO
Valparaiso,M,18,RUR,MQ3,SEP,4,3,salud,servicios,reputacion,si,si,madre,2,2,1,si,si,si,no,si,no,4,4,3,5,75,1.9,1.8,1.8,BAJO
Valparaiso,M,25,URB,MI3,SEP,3,2,profesor,en_casa,curriculo,no,si,madre,3,1,2,si,no,si,si,no,no,4,3,5,3,23,5.5,3.1,5.8,BAJO
La Serena,M,18,RUR,MQ3,SEP,3,1,profesor,otro,cercania,no,no,padre,3,1,3,no,no,no,si,si,si,5,4,3,1,2,3.3,3.9,3.6,ALTO
Valparaiso,M,22,URB,MI3,JUN,1,3,en_casa,salud,otro,si,no,madre,4,3,1,si,si,no,si,si,si,3,2,3,4,54,1.9,2.2,1.7,BAJO
Valparaiso,F,18,URB,MI3,JUN,0,3,en_casa,profesor,curriculo,no,no,madre,3,3,1,no,no,si,no,no,no,4,5,5,3,5,1.9,1,1.5,BAJO
Valparaiso,M,20,RUR,MQ3,SEP,1,4,otro,salud,cercania,si,no,madre,1,2,0,si,si,no,no,no,si,1,4,3,5,26,3.7,3.4,4.1,ALTO
Valparaiso,F,18,URB,MI3,JUN,3,4,profesor,salud,otro,si,no,padre,2,1,3,no,si,no,no,no,si,3,1,1,4,24,2.2,4,3.4,BAJO
Valparaiso,M,19,RUR,MI3,JUN,1,2,servicios,otro,reputacion,no,no,padre,3,1,1,si,si,si,no,si,si,5,2,5,4,10,5.2,2.8,5.5,BAJO
Valparaiso,F,19,RUR,MQ3,JUN,4,3,salud,servicios,reputacion,no,si,padre,1,1,3,no,no,no,si,si,no,5,3,5,1,5,2.2,3.7,4.6,NORMAL
La Serena,F,22,URB,MQ3,SEP,3,1,profesor,servicios,otro,si,no,madre,1,2,1,no,no,no,si,si,si,3,1,3,2,23,4.3,3.1,4,BAJO
La Serena,F,25,RUR,MI3,JUN,3,4,profesor,salud,cercania,no,si,otro,1,2,1,no,si,si,no,si,si,1,1,5,1,54,2.2,2.2,2.1,NORMAL
Valparaiso,F,18,URB,MI3,JUN,3,4,profesor,profesor,cercania,no,si,padre,4,4,2,no,no,si,no,si,si,2,1,3,1,5,4.6,5.8,6.4,NORMAL
Valparaiso,M,23,URB,MI3,JUN,4,3,profesor,salud,cercania,si,si,madre,1,4,2,si,no,si,no,no,si,5,5,1,4,7,6.4,5.5,6.3,BAJO
La Serena,F,25,RUR,MI3,JUN,3,4,salud,servicios,otro,no,si,madre,4,4,2,no,no,si,si,si,si,5,3,3,1,30,4,4.6,4.2,ALTO
La Serena,F,18,URB,MQ3,SEP,3,4,salud,salud,cercania,no,si,padre,1,3,1,si,si,no,no,no,si,1,2,2,1,24,4.9,6.1,5.8,BAJO
Valparaiso,M,22,RUR,MI3,JUN,3,3,salud,salud,reputacion,no,no,madre,4,4,3,no,no,si,no,si,no,3,4,3,5,8,3.7,3.4,3.2,NORMAL
La Serena,F,18,URB,MI3,JUN,1,4,servicios,profesor,curriculo,no,no,otro,4,4,2,si,si,si,no,si,no,3,4,5,5,8,4.5,5.2,7,BAJO
La Serena,M,25,URB,MI3,SEP,3,0,profesor,en_casa,cercania,si,no,madre,1,3,3,no,no,no,no,no,no,1,3,2,5,25,6.7,4.4,6.4,BAJO
Valparaiso,F,19,RUR,MQ3,JUN,3,4,en_casa,salud,cercania,si,no,padre,3,1,1,si,no,no,no,no,si,2,5,3,4,13,4.1,4,3.5,ALTO
La Serena,M,18,RUR,MI3,SEP,3,3,profesor,salud,curriculo,no,si,madre,3,3,2,no,no,no,si,no,si,2,5,2,4,3,5.8,4.9,5.1,BAJO
Valparaiso,F,21,URB,MI3,SEP,4,1,salud,servicios,reputacion,si,si,madre,3,3,0,si,no,no,no,si,si,5,5,4,5,13,2.2,2.5,2.4,NORMAL
La Serena,F,22,RUR,MI3,JUN,3,3,salud,salud,reputacion,no,no,madre,4,1,2,si,si,no,no,si,no,2,4,4,1,7,6.4,4.6,5.8,NORMAL
La Serena,M,19,RUR,MI3,SEP,4,3,salud,salud,otro,si,no,otro,3,4,2,no,si,si,si,si,no,1,2,2,1,22,4.6,4.8,4.3,ALTO
Valparaiso,F,23,URB,MI3,JUN,4,1,otro,otro,reputacion,si,si,otro,1,3,2,si,si,no,si,no,si,5,3,3,1,12,4.6,4.6,4.9,BAJO
Valparaiso,F,22,RUR,MI3,SEP,2,4,en_casa,profesor,otro,no,si,madre,1,2,2,no,si,no,no,si,si,5,4,4,4,25,4.9,4.8,4.7,ALTO
La Serena,M,22,RUR,MQ3,SEP,2,4,otro,profesor,reputacion,no,no,padre,4,1,0,si,si,no,no,si,si,5,1,2,1,9,3.4,3.1,5.8,BAJO
La Serena,F,19,URB,MI3,JUN,4,3,servicios,profesor,otro,no,no,padre,1,1,0,si,si,no,si,si,si,3,2,4,1,25,3.9,5.5,5.2,BAJO
La Serena,F,23,URB,MQ3,JUN,3,1,profesor,en_casa,curriculo,si,no,otro,3,2,2,si,si,si,no,si,no,1,2,2,2,6,4.2,4,4.6,ALTO
Valparaiso,F,21,RUR,MI3,JUN,2,4,servicios,profesor,curriculo,si,no,madre,4,1,0,si,no,no,si,no,no,1,1,5,1,24,4.6,3.7,5.8,NORMAL
Valparaiso,F,20,URB,MI3,SEP,4,0,profesor,otro,cercania,si,no,otro,2,3,3,si,si,si,si,no,si,1,3,4,3,0,4.3,3.7,6.4,BAJO
Valparaiso,M,23,RUR,MQ3,SEP,2,4,en_casa,en_casa,reputacion,no,si,otro,3,2,2,si,si,no,no,no,si,5,5,1,2,16,4.8,4.8,3.7,ALTO
La Serena,M,20,URB,MI3,JUN,0,2,en_casa,otro,otro,si,si,otro,3,1,1,si,si,si,si,no,si,4,1,5,4,30,3.4,4,6.1,NORMAL
